parameter,value,Omega
gamma,4.035714285714286,0.39339434219067293
gamma,4.071428571428571,0.39439723070531535
gamma,4.107142857142857,0.3953866633316468
gamma,4.142857142857143,0.3963628924985041
gamma,4.178571428571429,0.39732616459013265
gamma,4.214285714285714,0.39827672012179244
gamma,4.25,0.39921479390937414
gamma,4.285714285714286,0.4001406152332658
gamma,4.321428571428571,0.4010544079966808
gamma,4.357142857142857,0.4019563908786673
gamma,4.392857142857143,0.40284677748202424
gamma,4.428571428571429,0.40372577647627605
gamma,4.464285714285714,0.4045935917359273
gamma,4.5,0.4054504224741817
gamma,4.535714285714286,0.40629646337225944
gamma,4.571428571428571,0.4071319047045245
gamma,4.607142857142857,0.40795693245953396
gamma,4.642857142857143,0.4087717284572049
gamma,4.678571428571429,0.4095764704622038
gamma,4.714285714285714,0.41037133229371825
gamma,4.75,0.41115648393174714
gamma,4.785714285714286,0.41193209162001626
gamma,4.821428571428571,0.4126983179656642
gamma,4.857142857142857,0.41345532203579954
gamma,4.892857142857143,0.41420325945104974
gamma,4.928571428571429,0.4149422824762054
gamma,4.964285714285714,0.41567254010806953
gamma,5.0,0.4163941781605936
phi,-10.0,0.4658037760558771
phi,-9.918067226890756,0.4626233931311258
phi,-9.836134453781513,0.45944301020637457
phi,-9.754201680672269,0.4562626272816233
phi,-9.672268907563025,0.45308224435687205
phi,-9.590336134453782,0.4499018614321208
phi,-9.508403361344538,0.44672147850736954
phi,-9.426470588235293,0.4435410955826183
phi,-9.344537815126051,0.440360712657867
phi,-9.262605042016807,0.43718032973311577
phi,-9.180672268907562,0.4339999468083645
phi,-9.09873949579832,0.43081956388361325
phi,-9.016806722689076,0.427639180958862
phi,-8.934873949579831,0.42445879803411074
phi,-8.852941176470589,0.4212784151093595
phi,-8.771008403361344,0.4180980321846082
phi,-8.6890756302521,0.41491764925985697
phi,-8.607142857142858,0.4117372663351057
phi,-8.525210084033613,0.40855688341035445
phi,-8.443277310924369,0.4053765004856032
phi,-8.361344537815127,0.40219611756085194
phi,-8.279411764705882,0.3990157346361007
